"team","season","n","tot","score"
"AC Ciughina","2019/2020",3,22,0.136363636363636
"AF Antastica","2022/2023",5,25,0.2
"AF Antastica","2023/2024",1,25,0.04
"AF Antastica","2024/2025",2,25,0.08
"Al Bacaro","2023/2024",6,25,0.24
"Al Bacaro","2024/2025",7,25,0.28
"Aston Pirla","2018/2019",9,22,0.409090909090909
"Aston Pirla","2019/2020",3,24,0.125
"Aston Pirla","2020/2021",1,25,0.04
"Aston Pirla","2021/2022",5,25,0.2
"Aston Pirla","2022/2023",6,25,0.24
"Aston Pirla","2023/2024",8,25,0.32
"Aston Pirla","2024/2025",7,25,0.28
"Bayer Leverdure","2018/2019",5,25,0.2
"Bayer Leverdure","2019/2020",7,20,0.35
"Bayer Leverdure","2020/2021",5,25,0.2
"Bayer Leverdure","2021/2022",5,25,0.2
"Bayer Leverdure","2022/2023",9,25,0.36
"Deportivo la Carogna","2018/2019",1,23,0.0434782608695652
"Deportivo la Carogna","2019/2020",6,22,0.272727272727273
"FC Tigrotto","2024/2025",9,25,0.36
"Fanta Figa","2018/2019",0,13,0
"Fanta Figa","2019/2020",6,22,0.272727272727273
"Fanta Figa","2020/2021",9,24,0.375
"Fc Scrotone","2024/2025",10,25,0.4
"HERTA VERNELLO","2021/2022",3,25,0.12
"HERTA VERNELLO","2022/2023",8,25,0.32
"HERTA VERNELLO","2023/2024",11,25,0.44
"Hakimi Raikkonen","2020/2021",4,25,0.16
"Herta Vernello","2024/2025",6,25,0.24
"Joe Gage FC","2018/2019",3,21,0.142857142857143
"Joe Gage FC","2019/2020",4,24,0.166666666666667
"Joe Gage FC","2020/2021",5,25,0.2
"Joe Gage FC","2021/2022",3,25,0.12
"Joe Gage FC","2022/2023",5,25,0.2
"Joe Gage FC","2023/2024",6,25,0.24
"Joe Gage FC","2024/2025",7,25,0.28
"Liverplate","2019/2020",3,22,0.136363636363636
"MVPippe","2018/2019",2,11,0.181818181818182
"MVPippe","2019/2020",4,23,0.173913043478261
"MVPippe","2020/2021",4,25,0.16
"Patatinaikos","2018/2019",0,20,0
"Patatinaikos","2019/2020",2,17,0.117647058823529
"Patatinaikos","2021/2022",1,25,0.04
"SS FelLazio","2021/2022",6,25,0.24
"SS FelLazio","2022/2023",5,25,0.2
"Sambuca Juniors","2024/2025",6,25,0.24
"Sbocca Juniors","2020/2021",1,24,0.0416666666666667
"Sbocca Juniors","2021/2022",6,25,0.24
"Sbocca Juniors","2022/2023",5,25,0.2
"Sbocca Juniors","2023/2024",7,25,0.28
"Scrotone","2023/2024",4,25,0.16
"Stame Vecino Utd","2021/2022",5,25,0.2
"Tettenham","2021/2022",5,25,0.2
"Tettenham","2022/2023",5,25,0.2
"Tettenham","2023/2024",5,25,0.2
"Tettenham","2024/2025",5,25,0.2
"Tigrotto","2022/2023",7,25,0.28
"Tigrotto","2023/2024",8,25,0.32
"Zoggiathebest99 Team","2018/2019",3,20,0.15
"Zoggiathebest99 Team","2019/2020",3,16,0.1875
"Zoggiathebest99 Team","2020/2021",2,24,0.0833333333333333
"Zoggiathebest99 Team","2021/2022",5,25,0.2
"Zoggiathebest99 Team","2022/2023",6,25,0.24
"Zoggiathebest99 Team","2023/2024",5,25,0.2
"Zoggiathebest99 Team","2024/2025",8,25,0.32
